Date,Price,Open,High,Low,Vol.,Change %
12/1/2005,70.43,65.33,71.63,64.73,2.62M,7.81%
11/1/2005,65.33,62.8,66.63,61.7,3.74M,4.70%
10/1/2005,62.4,65.57,65.93,59.47,3.09M,-4.73%
9/1/2005,65.5,60,66.13,57.73,4.91M,14.57%
8/1/2005,57.17,57.23,57.5,52.1,3.14M,0.42%
7/1/2005,56.93,55.63,57.73,52.37,1.72M,2.45%
6/1/2005,55.57,52.57,56.33,52.1,2.42M,5.99%
5/1/2005,52.43,49,53.17,48.67,1.94M,6.50%
4/1/2005,49.23,51.67,52.43,48.57,2.02M,-4.91%
3/1/2005,51.77,54.67,54.97,50.53,2.19M,-5.75%
2/1/2005,54.93,50.83,54.93,49.33,2.14M,9.49%
1/1/2005,50.17,48.43,51.43,47.03,1.52M,2.53%
12/1/2004,48.93,46,49.3,44,2.43M,6.37%
11/1/2004,46,50.4,52.3,46,2.09M,-8.73%
10/1/2004,50.4,51.13,52,48.5,1.69M,-0.98%
9/1/2004,50.9,51.73,54.33,50.87,1.36M,-1.60%
8/1/2004,51.73,53.93,54.5,49.33,1.15M,-3.25%
7/1/2004,53.47,54.67,55,51.83,1.12M,-2.25%
6/1/2004,54.7,53.53,55.67,52.43,1.63M,1.11%
5/1/2004,54.1,55.4,57,52.5,1.93M,-2.35%
4/1/2004,55.4,55.37,58.3,55,2.30M,0.13%
3/1/2004,55.33,53.33,55.9,50.67,2.49M,4.20%
2/1/2004,53.1,50.43,55.33,49,1.72M,5.36%
1/1/2004,50.4,51.07,54.17,49.7,1.44M,-1.43%
12/1/2003,51.13,51.33,52.5,48.5,1.47M,-0.53%
11/1/2003,51.4,49.1,53.17,49.1,2.37M,4.11%
10/1/2003,49.37,44.2,49.8,43.83,2.38M,11.52%
9/1/2003,44.27,47.6,49,43.47,3.18M,-7.13%
8/1/2003,47.67,41.77,48.3,39.9,2.34M,13.85%
7/1/2003,41.87,41,43.67,40.47,2.13M,2.37%
6/1/2003,40.9,42.73,44.73,40.37,2.11M,-6.68%
5/1/2003,43.83,41.67,44.67,40.33,2.92M,5.54%
4/1/2003,41.53,39.67,42.23,37.5,1.84M,1.29%
3/1/2003,41,38.77,44,34.2,2.10M,5.86%
2/1/2003,38.73,43.83,44.67,36.73,2.22M,-10.76%
1/1/2003,43.4,43.7,49,41.67,1.47M,-1.07%
12/1/2002,43.87,48.83,50.83,43.67,1.29M,-10.10%
11/1/2002,48.8,50.1,52.97,46.43,3.40M,-3.04%
10/1/2002,50.33,42,51.5,39.67,2.81M,19.18%
9/1/2002,42.23,46.7,49.27,41.83,1.94M,-10.40%
8/1/2002,47.13,49,49,44.2,3.06M,-2.82%
7/1/2002,48.5,54,54,45.67,1.93M,-9.01%
6/1/2002,53.3,58.67,58.67,51.17,1.63M,-8.62%
5/1/2002,58.33,57.07,59.47,55.6,1.97M,2.15%
4/1/2002,57.1,56.67,58.1,54.1,1.40M,2.27%
3/1/2002,55.83,55.13,59.27,53.83,2.42M,1.82%
2/1/2002,54.83,57.77,59.07,50.4,2.76M,-7.23%
1/1/2002,59.1,57.67,60.57,56.83,2.13M,2.48%
12/1/2001,57.67,55.87,61.53,54.17,2.06M,2.98%
11/1/2001,56,47.8,58.67,47.33,2.08M,18.97%
10/1/2001,47.07,44.17,51.67,40.73,1.93M,9.47%
9/1/2001,43,54,55.33,33.33,3.67M,-20.52%
8/1/2001,54.1,54,56.67,53.67,1.30M,-0.92%
7/1/2001,54.6,54,55,51.73,1.38M,0.50%
6/1/2001,54.33,55.5,57.93,51.03,1.80M,-2.41%
5/1/2001,55.67,55.27,56.23,52.43,2.07M,3.09%
4/1/2001,54,49.33,54,44.7,1.84M,10.20%
3/1/2001,49,50.67,50.83,44.93,2.04M,-3.30%
2/1/2001,50.67,50.7,53.33,47.03,1.26M,-3.91%
1/1/2001,52.73,52.77,52.77,44.33,1.98M,4.83%
12/1/2000,50.3,52.67,55,48.33,1.33M,-7.99%
11/1/2000,54.67,53,63.77,52.67,1.74M,3.15%
10/1/2000,53,51.87,56.17,50.03,962.47K,-1.85%
9/1/2000,54,51.33,57,50.67,1.73M,5.12%
8/1/2000,51.37,47.7,51.67,45.23,2.33M,6.64%
7/1/2000,48.17,47.17,51.33,45.7,812.93K,2.12%
6/1/2000,47.17,48.33,52,45.37,667.42K,-2.40%
5/1/2000,48.33,53,54,46.17,1.21M,-7.06%
4/1/2000,52,47,54.33,43.37,1.41M,7.59%
3/1/2000,48.33,43.7,49.83,41.73,1.83M,10.67%
2/1/2000,43.67,46,50.67,40,1.19M,-5.07%
1/1/2000,46,49.67,52.67,41.67,1.28M,-7.87%
12/1/1999,49.93,41.33,52.23,41.33,1.28M,17.01%
11/1/1999,42.67,34.67,44.67,34.63,1.30M,23.07%
10/1/1999,34.67,35.33,36.67,33.33,826.00K,1.46%
9/1/1999,34.17,34.8,37.97,33.07,1.31M,-0.96%
8/1/1999,34.5,29.73,35.47,29.73,1.13M,10.68%
7/1/1999,31.17,32.67,36,29.7,2.74M,-3.56%
6/1/1999,32.32,29.3,32.73,28.57,2.13M,11.33%
5/1/1999,29.03,26,29.98,25.53,1.92M,11.65%
4/1/1999,26,24.67,26,23,774.73K,5.39%
3/1/1999,24.67,22.83,26.53,20.87,1.37M,10.38%
2/1/1999,22.35,24,26.33,22.33,1.42M,-10.60%
1/1/1999,25,23.08,27,21.88,2.12M,8.60%
12/1/1998,23.02,21.58,23.02,20.39,1.04M,5.11%
11/1/1998,21.9,21.6,22.97,19.72,1.29M,2.62%
10/1/1998,21.34,18.34,22.36,17.33,1.83M,13.51%
9/1/1998,18.8,17.78,19.66,15.4,1.97M,5.09%
8/1/1998,17.89,21.6,22.61,17.28,1.53M,-17.37%
7/1/1998,21.65,24.39,25,21.6,991.26K,-10.31%
6/1/1998,24.14,24.14,26.42,23.24,1.89M,1.30%
5/1/1998,23.83,23.2,25.05,22.87,1.39M,2.80%
4/1/1998,23.18,23.43,24.9,22.97,824.61K,-1.49%
3/1/1998,23.53,24.14,26.83,23.03,1.60M,-2.93%
2/1/1998,24.24,23.48,24.75,21.29,1.31M,3.68%
1/1/1998,23.38,21.39,23.63,19.82,1.42M,9.56%
12/1/1997,21.34,21.19,22.25,19.23,1.16M,0.66%
11/1/1997,21.2,19.82,22.21,18.55,1.67M,7.23%
10/1/1997,19.77,24.65,24.9,16.87,2.11M,-17.21%
9/1/1997,23.88,26.32,27.14,22,1.91M,-7.30%
8/1/1997,25.76,28.97,29.22,25.76,601.74K,-10.43%
7/1/1997,28.76,27.95,29.63,26.83,1.47M,2.90%
6/1/1997,27.95,26.09,30.24,25.41,1.43M,5.15%
5/1/1997,26.58,26.68,27.02,24.68,725.22K,-0.04%
4/1/1997,26.59,25.46,26.9,24.46,1.10M,-0.82%
3/1/1997,26.81,26.41,27.14,25.26,1.40M,2.33%
2/1/1997,26.2,26.75,27.95,25.59,1.47M,-1.98%
1/1/1997,26.73,24.73,28.78,23.75,1.43M,9.59%
12/1/1996,24.39,22.53,24.58,22.44,927.25K,8.69%
11/1/1996,22.44,22.02,23.97,22.02,1.73M,2.05%
10/1/1996,21.99,20.63,22.78,20.5,1.57M,7.22%
9/1/1996,20.51,20.67,20.75,19.41,2.92M,-0.68%
8/1/1996,20.65,20.95,21.85,19.31,1.62M,-1.38%
7/1/1996,20.94,23.04,23.27,20.07,1.14M,-9.11%
6/1/1996,23.04,24.48,24.7,22.6,816.52K,-5.54%
5/1/1996,24.39,23.21,25.07,21.7,1.11M,5.17%
4/1/1996,23.19,22.7,23.8,20.94,1.09M,2.25%
3/1/1996,22.68,19.97,22.77,18.65,1.56M,13.06%
2/1/1996,20.06,17.62,20.78,17.14,1.92M,14.43%
1/1/1996,17.53,15.58,17.77,15.57,1.61M,12.52%
12/1/1995,15.58,15.24,15.67,14.47,593.24K,5.13%
11/1/1995,14.82,14.3,15.58,13.97,926.58K,1.72%
10/1/1995,14.57,15.08,16.18,14.23,2.09M,-1.95%
9/1/1995,14.86,11.94,14.86,11.87,1.27M,24.46%
8/1/1995,11.94,11.52,11.94,11.43,1.40M,3.65%
7/1/1995,11.52,11.43,11.7,11.09,819.60K,1.23%
6/1/1995,11.38,11.25,11.4,10.67,1.46M,-0.87%
5/1/1995,11.48,10.64,11.67,10.54,1.15M,7.39%
4/1/1995,10.69,10.4,10.91,10.16,708.70K,2.79%
3/1/1995,10.4,9.5,10.57,9.23,1.71M,9.24%
2/1/1995,9.52,9.33,10.08,9.33,1.07M,0.53%
1/1/1995,9.47,9.82,9.82,9.03,810.57K,-3.56%
12/1/1994,9.82,10.21,10.23,9.55,1.32M,-3.82%
11/1/1994,10.21,10.21,10.42,10.16,784.56K,-1.16%
10/1/1994,10.33,10.93,10.93,10.04,1.20M,-3.82%
9/1/1994,10.74,10.03,10.82,9.82,1.09M,8.59%
8/1/1994,9.89,9.91,10.06,9.66,923.56K,-0.50%
7/1/1994,9.94,9.11,9.99,9.08,913.07K,9.11%
6/1/1994,9.11,9.23,9.4,8.98,1.54M,-1.30%
5/1/1994,9.23,8.72,9.4,8.23,541.74K,8.97%
4/1/1994,8.47,9.67,9.67,8.47,430.66K,-12.32%
3/1/1994,9.66,9.06,9.66,8.89,536.58K,7.45%
2/1/1994,8.99,8.76,9.06,8.55,569.51K,1.81%
1/1/1994,8.83,7.96,8.96,7.79,1.04M,10.93%
12/1/1993,7.96,6.78,8.08,6.61,1.32M,17.23%
11/1/1993,6.79,6.59,7.03,6.45,1.02M,3.66%
10/1/1993,6.55,6.69,6.78,6.35,1.27M,-2.82%
9/1/1993,6.74,5.76,6.83,5.39,1.06M,17.01%
8/1/1993,5.76,5.34,6.08,5.13,834.47K,7.87%
7/1/1993,5.34,5.3,5.34,4.95,708.17K,2.10%
